,height,weight,url,name,firstyear,lastyear,primary_pos
14611,6-02,205,player.php?p=roberje01,Jerry Robertson,1969,1970,P
14612,5-09,183,player.php?p=roberji02,Jim Robertson,1954,1955,C
14613,6-00,180,player.php?p=robermi01,Mike Robertson,1996,1998,RF
14614,6-02,215,player.php?p=roberna01,Nate Robertson,2002,2010,P
14615,6-02,210,player.php?p=roberri01,Rich Robertson,1966,1971,P
14616,6-04,175,player.php?p=roberri02,Rich Robertson,1993,1998,P
14617,6-00,180,player.php?p=robersh01,Sherry Robertson,1940,1952,CF
14618,6-05,255,player.php?p=roberty01,Tyler Robertson,2012,2013,P
14619,6-01,200,player.php?p=robidbi01,Billy Jo Robidoux,1985,1990,LF
14620,6-02,205,player.php?p=robinaa01,Aaron Robinson,1943,1951,C
14621,6-03,205,player.php?p=robinbi02,Bill Robinson,1966,1983,3B
14622,6-01,190,player.php?p=robinbr01,Brooks Robinson,1955,1977,SS
14623,6-02,195,player.php?p=robinbr02,Bruce Robinson,1978,1980,C
14624,Unknown,Unknown,player.php?p=robinch01,Charlie Robinson,1884,1885,RF
14625,6-00,220,player.php?p=robinch02,Chris Robinson,2013,2013,C
14626,6-05,240,player.php?p=robincl01,Clint Robinson,2015,2016,P
14627,5-10,165,player.php?p=robincr01,Craig Robinson,1972,1977,3B
14628,6-01,186,player.php?p=robinda01,Dave Robinson,1970,1971,CF
14629,5-11,190,player.php?p=robinde02,Derrick Robinson,2013,2013,RF
14630,6-00,180,player.php?p=robinde01,Dewey Robinson,1979,1981,P
14631,6-04,231,player.php?p=robindo01,Don Robinson,1978,1992,LF
14632,6-01,200,player.php?p=robindr01,Drew Robinson,2017,2018,SS
14633,6-01,190,player.php?p=robinea01,Earl Robinson,1958,1964,3B
14634,6-02½,210,player.php?p=robined01,Eddie Robinson,1942,1957,1B
14635,5-09,175,player.php?p=robinfl01,Floyd Robinson,1960,1968,CF
14636,6-01,195,player.php?p=robinfr02,Frank Robinson,1956,1976,3B
14637,Unknown,Unknown,player.php?p=robinfr01,Fred Robinson,1884,1884,2B
14638,5-11½,160,player.php?p=robinha01,Hank Robinson,1911,1918,P
14639,6-01,155,player.php?p=robinhu01,Humberto Robinson,1955,1960,P
14640,Unknown,Unknown,player.php?p=robinja01,Jack Robinson,1902,1902,C
14641,6-00,175,player.php?p=robinja03,Jack Robinson,1949,1949,P
